駅コード	駅名	備考
0bab	長門三隅	
0bac	長門市	
0bae	黄波戸	
0baf	長門古市	
0bb0	人丸	
0bb1	伊上	
0bb3	長門粟野	
0bb4	阿川	
0bb5	特牛	
0bb6	滝部	
0bb8	長門二見	
0bb9	宇賀本郷	
0bba	湯玉	
0bbb	小串	
0bbd	川棚温泉	
0bbe	黒井村	
0bbf	梅ケ峠	
0bc0	吉見	
0bc1	福江	
0bc2	安岡	
0bc3	梶栗郷台地	
0bc4	綾羅木	
0c01	大阪	#unused
0c02	天満	
0c03	桜ノ宮	
0c04	京橋	
0c05	大阪城公園	
0c06	森ノ宮	
0c07	玉造	
0c08	鶴橋	
0c09	桃谷	
0c0b	寺田町	
0c0c	天王寺	
0c11	長居	?
0c17	三国ヶ丘	?
0c18	百舌鳥	?
0c19	上野芝	?
0c36	和歌山	
0c37	宮前	
0c38	紀三井寺	
0c39	黒江	
0c3a	海南	
0c3b	冷水浦	
0c3c	加茂郷	
0c3d	下津	
0c3f	初島	
0c40	箕島	
0c41	紀伊宮原	
0c42	藤並	
0c44	湯浅	
0c45	広川ビーチ	
0c46	紀伊由良	
0c47	紀伊内原	
0c49	御坊	
0c4a	道成寺	
0c4b	和佐	
0c4d	稲原	
0c4e	印南	
0c4f	切目	
0c50	岩代	
0c52	南部	
0c53	芳養	
0c54	紀伊田辺	
0c55	紀伊新庄	
0c57	朝来	
0c58	白浜	
0c59	紀伊富田	
0c5a	椿	
0c5c	紀伊日置	
0c5d	周参見	
0c5e	見老津	
0c5f	江住	
0c61	和深	
0c62	田子	
0c63	田並	
0c64	紀伊有田	
0c66	串本	
0c67	紀伊姫	
0c68	古座	
0c69	紀伊田原	
0c6b	紀伊浦神	
0c6c	下里	
0c6d	太地	
0c6e	湯川	
0c70	紀伊勝浦	
0c71	紀伊天満	
0c72	那智	
0c73	宇久井	
0c75	紀伊佐野	
0c76	三輪崎	
0c77	新宮	
0c78	鵜殿	
0c7a	紀伊井田	
0c7b	阿田和	
0c7c	紀伊市木	
0c7d	神志山	
0c7f	有井	
0c80	熊野市	
0c81	大泊	
0c82	波田須	
0c84	新鹿	
0c85	二木島	
0c86	賀田	
0c87	三木里	
0c89	九鬼	
0c8a	大曽根浦	
0c8b	尾鷲	
0c8c	相賀	
0c8e	船津	
0c8f	三野瀬	
0c90	紀伊長島	
0c91	梅ケ谷	
0c93	大内山	
0c94	伊勢柏崎	
0c95	阿曽	
0c96	滝原	
0c98	三瀬谷	
0c99	川添	
0c9a	栃原	
0c9b	佐奈	
0c9d	相可	
0c9e	多気	
0c9f	徳和	
0ca0	松阪	
0ca2	六軒	
0ca3	高茶屋	
0ca4	阿漕	
0ca5	津	
0ca7	一身田	
0ca8	下庄	
0ca9	亀山	
0d01	函館	
0d03	五稜郭	
0d05	桔梗	
0d06	大中山	
0d08	七飯	
0d0c	仁山	
0d0d	大沼	
0d0e	大沼公園	
0d0f	赤井川	
0d11	駒ヶ岳	
0d12		2017-03-03/東山
0d12		2017-03-03/姫川
0d14	森	
0d16		2017-03-03/桂川
0d1a	石倉	
0d1b	落部	
0d1c	野田生	
0d1d	山越	
0d1f	八雲	
0d20	鷲ノ巣(信)	2016-03-25/鷲ノ巣
0d21	山崎	
0d22	黒岩	
0d25	国縫	
0d26		2024-03-15/中ノ沢
0d27	長万部	
0d29	二股	
0d2b	黒松内	
0d2c	熱郛	
0d2e	目名	
0d2f	蘭越	
0d30	昆布	
0d32	ニセコ	
0d33	比羅夫	
0d34	倶知安	
0d35	小沢	
0d37	銀山	
0d38	然別	
0d39	仁木	
0d3a	余市	
0d3c	蘭島	
0d3d	塩谷	
0d3f	小樽	
0d40	南小樽	
0d42	小樽築港	
0d43	朝里	
